Número de protocolo,Título,Autores (nome — curso/universidade),Categoria,Curso,Modalidade
20251067,Prevalência de periodontite em pacientes de clínica escola: estudo prospectiva,Camila Campos — Odontologia/UFMG; Rafael Barbosa — Odontologia/USP; Caio Barbosa — Odontologia/USP; Eduardo Souza — Odontologia/UNIFESP,TCC,Odontologia,Presencial
20251188,Impacto de antimicrobianos na prática clínica hospitalar: análise randomizado,Tiago Moreira — Medicina/UFBA; Bianca Monteiro — Medicina/UFRN; Júlia Fernandes — Medicina/UFAM,Trabalho científico,Medicina,Presencial
20251102,Dor crônica e reabilitação cardiovascular: estudo quase-experimental em ambulatório,Daniela Carvalho — Fisioterapia/UFSC; Gabriel Martins — Fisioterapia/UFAL; Igor Vieira — Fisioterapia/UFAL; Rafael Pereira — Fisioterapia/UFMG,Iniciação científica,Fisioterapia,Presencial
20251194,Avaliação de cuidados paliativos em pacientes do SUS: estudo transversal,Rafael Costa — Medicina/UFRN; Otávio Freitas — Psicologia/UFPA; Ana Pinheiro — Medicina/UFAL,Trabalho científico,Medicina,EAD
20251112,Educação em saúde sobre higienização das mãos: intervenção de enfermagem,Rodrigo Almeida — Enfermagem/UFRGS; Daniela Souza — Medicina/UNIFESP; Caio Monteiro — Enfermagem/UFPR; Daniela Farias — Enfermagem/UFPR; Eduardo Pereira — Enfermagem/UNICAMP,Mestrado/Doutorado,Enfermagem,Presencial
20251122,Educação em saúde sobre feridas crônicas: intervenção de enfermagem,Caio Oliveira — Enfermagem/UFAM; Caio Tavares — Enfermagem/UFC; Otávio Moura — Enfermagem/UFPA,Iniciação científica,Enfermagem,Presencial
20251014,Cuidado de enfermagem em aleitamento materno: estudo quase-experimental em unidade básica,Eduardo Silva — Enfermagem/UFMG; Eduardo Rodrigues — Enfermagem/UFBA; Gustavo Pereira — Nutrição/UFPE; Larissa Campos — Biomedicina/USP,TCC,Enfermagem,Presencial
20251003,Segurança do paciente e aleitamento materno: revisão transversal,Sofia Gomes — Psicologia/UFC; Vanessa Rodrigues — Farmácia/UFC; Tatiane Moreira — Enfermagem/UNIFESP,Iniciação científica,Enfermagem,Presencial
20251065,Padrões alimentares e consumo de fibras em adultos: estudo prospectiva,Ana Castro — Biomedicina/UFPR; Matheus Vieira — Nutrição/UFMG; Eduardo Almeida — Nutrição/UNESP,TCC,Nutrição,Presencial
20251045,Atenção farmacêutica a pacientes com polifarmácia: estudo de coorte,Carlos Melo — Farmácia/UNIFESP; Gustavo Rodrigues — Farmácia/UFMG; Gustavo Borges — Psicologia/UNICAMP,TCC,Farmácia,Presencial
20251137,Avaliação de hipertensão em pacientes do SUS: estudo quase-experimental,Mariana Castro — Fisioterapia/UNICAMP; Tiago Costa — Enfermagem/UFPA; Carlos Monteiro — Medicina/UFAL,Trabalho científico,Medicina,Presencial
